DATE        TIME       Kph    TEMP   VOLT   Wh     SoC   
2024-06-29  20:28:23   28.0  26.13   2.13   29.0  11.18
2024-06-29  20:28:24   42.0   4.25   2.27   12.0  20.14
2024-06-29  20:28:24   37.0   8.28   6.13   42.0   7.16
2024-06-29  20:28:24   22.0   6.11   0.14   52.0  22.29
2024-06-29  20:28:25   29.0   8.09  12.01   22.0  20.10
2024-06-29  20:28:25    2.0  19.00  21.28   51.0  18.28
2024-06-29  20:28:26   62.0  22.19  26.18   36.0  12.28
2024-06-29  20:28:26   30.0  21.05   9.17   31.0   7.24
2024-06-29  20:28:26   40.0  30.24  24.17   47.0  25.11
2024-06-29  20:28:27   43.0  24.01  21.26   12.0  12.25
2024-06-29  20:28:27   20.0   8.04  11.16   49.0  13.02
2024-06-29  20:28:28   27.0  13.07   1.31   49.0  27.05
2024-06-29  20:28:28   32.0  28.21   6.09   27.0   8.17
2024-06-29  20:28:28   41.0   9.04  25.01   28.0  28.16
2024-06-29  20:28:29   22.0   8.15   8.28   44.0  13.09
2024-06-29  20:28:29    9.0  17.27   0.09   13.0   0.25
2024-06-29  20:28:30   27.0   8.01  17.17   42.0  10.22
2024-06-29  20:28:30   31.0  19.28   2.21   32.0   3.24
2024-06-29  20:28:30   32.0  18.15   9.26   47.0  19.08
2024-06-29  20:28:31   28.0   6.30  18.16   11.0  13.19
2024-06-29  20:28:31   45.0  30.02  27.27   20.0  14.21
2024-06-29  20:28:32   29.0  11.02   6.20   15.0   2.11
2024-06-29  20:28:32   23.0  11.01   4.15   33.0   2.06
2024-06-29  20:28:32   31.0  10.11  14.19   23.0  16.04
2024-06-29  20:28:33   37.0  16.24  31.13   15.0   6.01
2024-06-29  20:28:33   40.0  12.31  25.29   45.0  27.19
2024-06-29  20:28:34   46.0   7.23  23.27   24.0   2.18
2024-06-29  20:28:34   45.0  20.00  12.13    6.0  22.28
2024-06-29  20:28:34   19.0   9.03  15.31   13.0  11.21
2024-06-29  20:28:35    7.0  18.01  25.16   26.0  13.16
2024-06-29  20:28:35   55.0   6.04  26.25   47.0  28.05
2024-06-29  20:28:36   39.0  19.22  22.12   45.0  26.04
2024-06-29  20:28:36   56.0  10.22  25.07   24.0  20.16
2024-06-29  20:28:36   39.0  23.14   1.24   57.0   6.29
2024-06-29  20:28:37   11.0  21.28   6.25   39.0  20.26
2024-06-29  20:28:37   17.0  14.18  20.08   19.0   5.19
2024-06-29  20:28:38   30.0   0.18  25.03   36.0  14.21
2024-06-29  20:28:38   35.0   0.14  27.07   17.0  11.02
2024-06-29  20:28:38   59.0  30.16   5.05   16.0  23.03
2024-06-29  20:28:39   37.0   3.18  28.26   40.0   0.28
2024-06-29  20:28:39   48.0   1.02  23.23   20.0  12.21
2024-06-29  20:28:40   47.0  12.13   0.23   46.0  11.23
2024-06-29  20:28:40   52.0  24.05  24.26   20.0   5.27
2024-06-29  20:28:40   23.0  22.16  13.01   28.0   7.09
2024-06-29  20:28:41   46.0  19.28  18.00   39.0  29.19
2024-06-29  20:28:41    9.0  23.18   5.20   42.0  22.25
2024-06-29  20:28:42   56.0  13.30  25.00   33.0  29.25
2024-06-29  20:28:42   54.0  20.12  24.12   35.0  14.03
2024-06-29  20:28:42   36.0  31.23   9.17   18.0  14.07
2024-06-29  20:28:43   22.0  23.24  10.23   11.0  13.09
2024-06-29  20:28:43   36.0  27.12   8.04   24.0   6.10
2024-06-29  20:28:44   44.0  22.11   3.00   41.0  22.02
